Language,Source,Link,Sentences
Western Apache,Glosbe,https://app.glosbe.com/recent?l1=en&l2=apw&user=,Áídí’ Jesus Holy Spirit nabiłaago da’igolı́ı̨́yú ch’iidn nant’án nabíntaahyú ̨óyáá
Western Apache,Glosbe,,"Dá doo iyáné dizdin behiskąą, áí ąął hiskąądá’ shiṉá’ silįį"
Western Apache,Glosbe,,"Na’íntaahíí baa nyáágo gábiłṉii, Ni Bik’ehgo’ihi’ṉań biYe’ ńlı́ı̨́yúgo, díí tsééhíí báń náodleeh, ̨nṉii"
Western Apache,Glosbe,,"Áídá’ Jesus gábiłṉii, Ágágolzeego k’e’eshchįį, Nṉee doo dá báń zhą́ yee hiṉaa da doleeł, áídá’ Bik’ehgo’ihi’ṉań biyati’íí bizé’dí’ behagohigháhíí dawa yee hiṉaa doleeł"
Western Apache,Glosbe,,Ch’iidn nant’án godiyįhgo ízisgo kįh gozṉilyú Jesus yił o’áázhgo kįh biyi’ da’ch’okąąhíí ts’ídago goz’aaníí bilatahyú yił n’áázhgo
Western Apache,Glosbe,,"Jesus bich’į’ hananádziigo gábiłṉii, Ágágolzeego k’ená’ishchįį, Bik’ehgo’ihi’ṉań neBik’ehń doo nabíńtaah da."
Western Apache,Glosbe,,Áídí’ dził dázhǫ́ yúdahi biká’yú yił hananát’aazhgo nṉee iłtah at’éégo hadaazt’i’íí dawa ła’íí bi’ízisgo ágot’eehíí bił ch’í’ṉah áyíílaago
Western Apache,Glosbe,,"Gábiłṉii, Díí nagoz’aaníí dawa naa dinish’aa doleeł, hayaa ánṉe’go shonkąąhyúgo"
Western Apache,Glosbe,,"Jesus gánábiłdo’ṉiid, Yuwehyú, Satan: ágágolzeego k’ená’ishchįį, Bik’ehgo’ihi’ṉań neBik’ehń zhą́ honkąąh, da áń zhą́ bá na’izíid."
Western Apache,Glosbe,,Áídí’ ch’iidn nant’án bits’ą́’zhį’ onádzaadá’ Bik’ehgo’ihi’ṉań binadaal’a’á yaaká’dí’hi baa hikaigo bich’odaazṉi’
Western Apache,Glosbe,,"Názarethdí’ dahiyaago Capérnaumyú ngonle’, túsikaaníí bahyú, Zábulon hik’e Néphthalim bigodesdzogíí biyi’"
Western Apache,Glosbe,,"Esáias, Bik’ehgo’ihi’ṉań binkááyú na’iziidi, gánṉiid n’íí begolṉe’go"
Western Apache,Glosbe,,"Zábulon bini’ hik’e Néphthalim bini’ Jórdan túńlı́ı̨́ hanaayú túsikaaníí bich’į’ Gálileeyú, doo ̨ Jews daanlįį dahíí bini’yú"
Western Apache,Glosbe,,Godiłhiłyú naháztąą n’íí kǫ’ bená’dindííngo daayiłtsąą; da’itsaah bichagosh’ohyú naháztąą n’íí bich’į’ idindláád silįį
Western Apache,Glosbe,,"Áídí’ godezt’i’go, Nohwinchǫ’íí bits’ą́’zhi’ ádaahṉe’, yaaká’yú dahsdaahń nant’aahíí biká’ nagowaa, ṉiigo Jesus yałti’ nkegonyaa"
Western Apache,Glosbe,,"Áík’ehgo gádaayiłṉii, Shiké’ dahdoh’aash; łóg hayihileehíí k’ehgo nṉee shá nádaahohłáhgo ánohwishłe’"
Western Apache,Glosbe,,Dagoshch’į’ łóg behaidlehé nanestł’ólihíí da’áígee ndaistsoozdá’ Jesus yiké’ dahn’aazh lę́k’e
Western Apache,Glosbe,,"Dagoshch’į’ bitaa tsina’eełíí yiyi’ sidaadá’ yits’ą́’ dahn’aazh, Jesus biké"
Western Apache,Glosbe,,"Áík’ehgo nṉee łą́ą́go Gálilee, Decápolis, Jerúsalem, Judéa, ła’íí Jórdan túńlííníí hanaadí’hi biké’ anáłseeł lę́k’e"
Western Apache,Omiglot,,"Iłk'idáͅ, koͅoͅ yá'édiͅná'a."
Western Apache,Omiglot,,Ákoo Tł'ízhe hooghéí dá'áíná bikoͅ' 'ólíná'a.
Western Apache,Omiglot,,Ákoo Tł'ízheí gotál yiis'áͅná'a.
Western Apache,Omiglot,,Ákoo Mai'áee híłghoná'a.
Western Apache,Omiglot,,"Gotál jiis'áͅí 'áee, Mai tsíbaͅaͅee naaná'azhishná'a."
Western Apache,Omiglot,,Ákoo bitseeí tsínáiłgoná'a.
Mescalero Apache,The Mescalero's Prophecy,https://xtf.lib.virginia.edu/xtf/view?docId=Apache/uvaGenText/tei/Mes09.xml&chunk.id=MN9&toc.id=MN9&brand=default,nDii'ágoch'íͅlaadáͅ Naaghéé'neesghánéń 'iͅiͅeenahíńjaaj dziłgais'ání bindádé
Mescalero Apache,The Mescalero's Prophecy,,Díí dził dasitáͅí Mashgaléne bikéyaadaał.
Mescalero Apache,The Mescalero's Prophecy,,Ákoo 'iͅiͅee Naaghéé'neesghánéń nahíńjaajná'a.
Mescalero Apache,The Mescalero's Prophecy,,Áí 'it'ah naaheͅeͅtáͅáͅ.
Mescalero Apache,The Mescalero's Prophecy,,Áńń Yóósń ndii'ágóͅlaań:
Mescalero Apache,The Mescalero's Prophecy,,Dáándí 'iͅiͅee Mashgaléne bikéyaadaał.
Mescalero Apache,The Mescalero's Prophecy,,Áshíͅ dándéná ndiibeedahgoos'áͅná'a.
Mescalero Apache,The Mescalero's Prophecy,,Iͅiͅshíͅ hanyaago sháhanát'áyádó shá'ii'áyádó soͅoͅsbinibitł'áhádó 'áíí ndé bindiidení.
Mescalero Apache,The Mescalero's Prophecy,,Áíí ha'yáhee 'idaaskagó?
Mescalero Apache,The Mescalero's Prophecy,,K'adi Mashgaléneí góͅlaaí dábéghahégo Mashgaléne ná'idzii.
Mescalero Apache,The Mescalero's Prophecy,,Ákoo 'indááńne ndé bindiidení dábeehadeesbiͅ.
Mescalero Apache,The Mescalero's Prophecy,,Iłk'idáͅ 'indaa'édaadiͅdáͅ.
Mescalero Apache,The Mescalero's Prophecy,,Iłk'idáͅnndéne 'ághándi.
Mescalero Apache,The Mescalero's Prophecy,,Iͅiͅjiͅ 'indaa doot'íͅdadáͅ.
Mescalero Apache,The Mescalero's Prophecy,,Indaałigańne bindáaí datł'ijí dándéná ndiií beedahgoos'áͅdaał.
Mescalero Apache,The Mescalero's Prophecy,,daandí. K'adi 'ághádzaa.
Mescalero Apache,The Mescalero's Prophecy,,"Ákoo: Háálínndéná'idziií, 'ákoo 'indaa daahíͅlaa."
Mescalero Apache,The Mescalero's Prophecy,,Ákoo ndii'énágodiͅí 'áháánédaał.
Mescalero Apache,The Mescalero's Prophecy,,"daandíná'a, Mashgaléneí hadaastiͅiͅńne."
Mescalero Apache,The Mescalero's Prophecy,,Áíní doołi'haodzída.
Mescalero Apache,The Mescalero's Prophecy,,"It'ah 'itédandzíínégo, dá'ágháhndá."
Mescalero Apache,The Mescalero's Prophecy,,"K'adi dá'ághát'éndah, dá'ághát'égo 'ánahíͅlaaná'a, Yóósń."
Mescalero Apache,The Mescalero's Prophecy,,Áíí dooyáadaahit'íͅdago 'ánahíͅlaaná'a.
Mescalero Apache,The Mescalero's Prophecy,,Áíí 'it'ah dá'ághánt'égo hoͅoͅka.
Mescalero Apache,The Mescalero's Prophecy,,"Dá'ághát'éndah, díí nndébindáadatł'ijéńne bikék'ehyágo dahnaa'ijish."
Mescalero Apache,The Mescalero's Prophecy,,K'adi díí ndéne 'áńń ndé bitsii ch'óͅóͅshé.
Mescalero Apache,The Mescalero's Prophecy,,Bi'édeí díík'eh 'ighe'sijé.
Mescalero Apache,The Mescalero's Prophecy,,K'adi ndéní doobégóͅziͅda dá'indaaí.
Mescalero Apache,The Mescalero's Prophecy,,"Ághát'é 'indaa bikék'ehyágo 'oͅoͅkaí 'iłk'idáͅ, ndéne 'ándíná'a."
Mescalero Apache,The Mescalero's Prophecy,,Díík'eh dá'ákaago 'ághá'iͅiͅjiͅ doołi'indaahot'íͅdadáͅ.
Mescalero Apache,The Mescalero's Prophecy,,Iłk'idáͅ ndéné 'ándíná'a.
Mescalero Apache,The Mescalero's Prophecy,,Doołi'haodzída.
Jicarilla Apache,Wilson & Martine,https://en.wikipedia.org/wiki/Jicarilla_language,Shíí Rita shíízhii. Shiidádéé naakii.
Jicarilla Apache,Wilson & Martine,,Lósii’yé shii’deeshchíí shíí á’ee néésai.
Jicarilla Apache,Wilson & Martine,,Shiika’éé na’iizii’íí nahiikéyaa’íí miiná’iisdzo’íí éí yaa shishíí.
Jicarilla Apache,Wilson & Martine,,Shii’máá éí gé koghá’yé sidá nahaa daashishíí.
Jicarilla Apache,Wilson & Martine,,Shiidádéé naakii.
Jicarilla Apache,Wilson & Martine,,Dáłaa’é éí édii.
Jicarilla Apache,Wilson & Martine,,Dáłaa’é éí dá aada’é miigha.
Jicarilla Apache,Wilson & Martine,,Shiishdázha dáłánéé.
Jicarilla Apache,Wilson & Martine,,Ałtso nada’iizii.
Jicarilla Apache,Wilson & Martine,,Łe’ dá á’ee Lósii’ee daamigha.
Jicarilla Apache,Wilson & Martine,,"Isgwéela’yé naséyá, éí Lósii’ee naséyá dá áństs’íísédá."
Jicarilla Apache,Wilson & Martine,,Łe’gó Santa Fe’yé dáłaa’é hai shee goslíí á’ee.
Jicarilla Apache,Wilson & Martine,,Łe’gó Ináaso’yé éí kái’ii hai shee goslíí.
Lipan Apache,Three Lipan Apache Songs,https://www.indians.org/welker/lipsong.htm,djùnà' ái bìdà' tíngè' t' á ìgaì dì gò
Lipan Apache,Three Lipan Apache Songs,,bè dà' gùnòyè gè' dè yà tc' ìndí dì
Lipan Apache,Three Lipan Apache Songs,,djígùnà' ái bìjà jé' dá à' dj ' dè yà tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,ìckî n dá à' dj ' dè yà h dè yà tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,djùnà' ái bì dùt ' ìjì bìnànt' à' nànt' à' dòxá yò'
Lipan Apache,Three Lipan Apache Songs,,bì ' ágòdo dí ì' bì dìs' èsts' tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,djùnà' ái bè bì' ò' gùnòyè ì' yè
Lipan Apache,Three Lipan Apache Songs,,bì' ò' gùnòyè gò' dè yà tc' ìndì
Lipan Apache,Three Lipan Apache Songs,,nùgùsts' án biìká' 'ìyú ndzìní' dò à'
Lipan Apache,Three Lipan Apache Songs,,hà bídòl gò' dè yà tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,nùgùsts' án biìká' dé 'ì tc' ' òdàsdjà í'
Lipan Apache,Three Lipan Apache Songs,,bìyá tì' jò ní bìnàtsé kè s jò ní' bìdlùk jò ní
Lipan Apache,Three Lipan Apache Songs,,bínà lzé' 'í t' à' dá' jò dí dò bé' ó ltà' gò'
Lipan Apache,Three Lipan Apache Songs,,yèxáidèlà gò dè yà tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,ìs' à' nà yái k' è' gòjó gò' yèxáidèlà gò dè yà tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,ìs' à' nà yái k' è' gòjó 'àná' hòkùs
Lipan Apache,Three Lipan Apache Songs,,t' á ìgaì bìt ' á' éd yùd 'á lzà tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,ákó gò' t' á ìgaì bìká' nà' íljò jgò 'á lzà tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,yò gài sìyùdì 'ìt á' nèz' ágò' 'á lzà tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,gòdìt' ó' bàsxà' híljìj tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,gòdìt' ó' bèbìk' è nà ìst ' ó tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,hí tsát ' ùl bìt' ùl 'á lzà tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,t' ádì xì bìtc' ìd bìt ' á' sì tsò z
Lipan Apache,Three Lipan Apache Songs,,t' á ìgaì bìtc' ìd bìt ' á' sì tsò z
Lipan Apache,Three Lipan Apache Songs,,ìs' à' nà yái k' è' gòjó ts' á 'á lzà tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,djùnà' ái bìnànt' à' bè bìyì' gùdìtní tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,"Si' -Zi' bìyì' éd yùd di"" di' ?isZa'ni' tc' ìndí"
Lipan Apache,Three Lipan Apache Songs,,ìs' à' nà yái éd yùd 'á lzà tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,bìyì' éd yùd híljìj 'ìs' à' nà yái tc' ìndí
Lipan Apache,Three Lipan Apache Songs,,yèxáidèlà gò dè yà k' è' gòjó zee tsá lit' tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,Á bìtc' ìd bìt ' á' ná ná ni? sì tsò z
Lipan Apache,Three Lipan Apache Songs,,nùgùsts' án biìká' dé ' ì tc' ' òdàsdjà í'
Lipan Apache,Three Lipan Apache Songs,,bìyá tì' jò ní bìnàtsé kè s jò ní' bìdlùk jò ní
Lipan Apache,Three Lipan Apache Songs,,bínà lzé' 'í t' à' dá' jò dí dò bé' ó ltà' gò'
Lipan Apache,Three Lipan Apache Songs,,yèxáidèlà gò dè yà tc' ìndí d
Lipan Apache,Three Lipan Apache Songs,,ìs' à' nà yái k' è' gòjó gò' nànt' à' dòxá yò' bì ' ágòdo dí ì'
Lipan Apache,Three Lipan Apache Songs,,yèxáidèlà gò dè yà tc' ìndí d
